Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
といっても,といっても,,①ビデオの作品を作った。といっても、せいぜい10分の短い作品だが。,,,,,,,,,,,,,,,,,,,
といっても,～といっても,,①A：休みには故郷へ帰ります。B：じゃあ、当分お目にかかれませんね。A：いや、帰るといっても、二週間程度で、すぐまた帰って来ます。,,,,,,,,,,,,,,,,,,,
といっても,ひとくちに～といっても,,①一口にアジアといっても、広大で、多種多様な文化があるのです。,,,,,,,,,,,,,,,,,,,
といっても,～といってもいいだろう,,①これは、この作家の最高の傑作だといってもいいだろう。,,,,,,,,,,,,,,,,,,,
といっても,～といってもいいすぎではない,,①環境破壊の問題は、これから世界の最も重要な課題になるといっても言い過ぎではない。,,,,,,,,,,,,,,,,,,,
といわず～といわず,NといわずNといわず,,①風の強い日だったから、口といわず、目といわず、すなぽこりが入ってきた。,,,,,,,,,,,,,,,,,,,
どうしても,どうしてもR－たい,,①次の休みには、どうしても北海道へ行きたい。,,,,,,,,,,,,,,,,,,,
どうしても,とうしても～ない,,①仕事がひどぐ忙しいので、今月末までは、どうしてもあなたのところへは行けません。,,,,,,,,,,,,,,,,,,,
どうじに,～とどうじに　Nとどうじに　V－る／V－た（の）とどうじに,,①スタートの合図と同時に、選手達はいっせいに走り出した。,,,,,,,,,,,,,,,,,,,
どうじに,であるとどうじに　A／V　とどうじに〕,,①この手術はかなりの危険を伴うと同時に費用もかかる。,,,,,,,,,,,,,,,,,,,
どうじに,どうじに,,①医者という職業は体力を必要とする。同時に、人間の繊細な心理に対する深い理解も要求される。,,,,,,,,,,,,,,,,,,,
どうせ,どうせ,,①どうせ私は馬鹿ですよ。,,,,,,,,,,,,,,,,,,,
どうせ,どうせ～（の）なら,,①どうせやるならもっと大きいことをやれ。,,,,,,,,,,,,,,,,,,,
どうせ,どうせV－るいじょう（は）　どうせV－るからには,,①やる以上は必ず成功して戻ってこい。,,,,,,,,,,,,,,,,,,,
どうせ,どうせ～のだから,,①どうせ間に合わないのだから、いまさらあわてても仕方がない。,,,,,,,,,,,,,,,,,,,
どうせ,どうせ（のこと）だから,,①どうせのことだから、とびきり高級なホテルに泊まろう；き,,,,,,,,,,,,,,,,,,,
とうぜん,Nとうぜん,,①実の娘同然に大切に育ててくれた。,,,,,,,,,,,,,,,,,,,
とうぜん,～もとうぜん　Nもとうぜん　V－たもとうぜん,,①この子は本当は姪ですが、小さいころから一緒に暮らしているので娘も同然です。,,,,,,,,,,,,,,,,,,,
とうてい～ない,,,①うちの息子の実力では、東大合格はとうてい無理だ。,,,,,,,,,,,,,,,,,,,
とうとう,とうとうV－た,,①夏休みも、とうとう終わってしまった。,,,,,,,,,,,,,,,,,,,
